5/25/2023 3:32,,
1,cancel_1,
5/25/2023 3:39,,
2,token_3,fb_5
3,token_3,fb_3
4,token_1,fb_5
5,token_1,
6,token_1,fb_5
7,token_1,fb_5
8,token_2,fb_5
9,token_3,fb_5
10,stopped,
11,token_1,fb_5
12,token_1,
13,stopped,
5/25/2023 4:35,,
14,token_3,fb_5
15,token_1,fb_5
16,token_3,fb_4
17,token_3,fb_3
6/1/2023 2:56,,
1,token_1,fb_4
2,stopped,
3,cancel_1,
4,cancel_1,
5,token_3,fb_5
6,token_3,fb_4
7,token_1,fb_4
6/22/2023 3:06,,
1,token_3,fb_5
2,token_1,fb_5
3,token_1,fb_5
4,token_3,
5,token_3,fb_4
6,token_3,fb_5
6/22/2023 3:40,,
7,token_3,fb_5
8,token_1,
9,token_3,fb_5
10,token_1,fb_5
6/22/2023 4:33,,
11,token_3,fb_5
12,token_3,fb_5
7/24/2023 2:09,,
1,token_1,fb_5
2,stopped,
3,stopped,
4,token_1,fb_5
7/24/2023 2:18,,
5,token_1,
6,token_2,fb_3
7,token_3,fb_5
7/24/2023 2:37,,
8,cancel_1,
7/24/2023 2:44,,
9,token_3,fb_5
7/24/2023 3:18,,
10,token_1,fb_5
11,stopped,
12,token_1,fb_3
7/24/2023 5:50,,
13,token_1,fb_5
14,token_1,fb_4
15,token_1,fb_3
16,token_2,fb_3
17,cancel_1,
18,stopped,
